"filename", "language", "Properties", "Markdown", "JavaScript", "JSON", "JavaScript JSX", "SCSS", "CSS", "SQL", "JSON with Comments", "HTML", "comment", "blank", "total"
"d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\fifth-step\FifthStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\first-step\FirstStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 3, 35
"d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\fourth-step\FourthStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 31
"d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\index.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\second-step\SecondStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\seven-step\SevenStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\six-step\SixStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Coding\ProjectFullStack\Twinki-social\client\src\features\auth\register\ui\third-step\ThirdStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"d:\Coding\ProjectFullStack\Twinki-social\client\src\features\test\api\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Coding\ProjectFullStack\Twinki-social\client\src\features\test\api\testApi.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"d:\Coding\ProjectFullStack\Twinki-social\client\src\features\test\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Coding\ProjectFullStack\Twinki-social\client\src\features\test\model\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Coding\ProjectFullStack\Twinki-social\client\src\features\test\model\testSlice.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Coding\ProjectFullStack\Twinki-social\client\src\features\test\ui\Test.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\auth\AuthPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\auth\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\home\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\home\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\layouts\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\layouts\main-layout\components\Aside.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\layouts\main-layout\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\layouts\main-layout\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\layouts\main-layout\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\page-404\Page404.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\page-404\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\test\TestPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\test\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\welcome\WelcomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"d:\Coding\ProjectFullStack\Twinki-social\client\src\pages\welcome\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\external\api.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\external\baseQuery.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\external\baseQueryWithReauth.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\external\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\external\invalidateTokenEvent.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
